festival_list_link,festival_list_link-href,event_name,event_dates,event_cost,event_description,event_date_time,event_location_name,event_location_address,event_venue_html
"Juneteenth At Atlanta History Center","https://atlantaplanit.wabe.org/events/juneteenth-at-atlanta-history-center/","Juneteenth At Atlanta History Center","Jun 17 – Jun 18","Free!","This two-day family program focuses on the appreciation and commemoration of the end of slavery in the United States, also known as Juneteenth. Guests explore the themes of freedom and family history through activities, immersive museum theatre performances and crafts. 





This is a free admission weekend at Atlanta History Center.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 17</td><td>11am – 4pm</td></tr><tr><td>Sun, Jun 18</td><td>12pm – 4pm</td></tr></tbody></table></dd>","Atlanta History Center","130 West Paces Ferry Rd. NW
ATLANTA, GA 30305","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta History Center				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>130 West Paces Ferry Rd. NW<br>ATLANTA, GA 30305</span></dd></dl>				<dl class=""pi-field wwwatlantahistorycentercom"" title=""www.atlantahistorycenter.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.atlantahistorycenter.com"">www.atlantahistorycenter.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:information@atlantahistorycenter.com"">information@atlantahistorycenter.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-814-4000"">404-814-4000</a></span></dd></dl>"
"Sweet Auburn Springfest","https://atlantaplanit.wabe.org/events/sweet-auburn-springfest/","Sweet Auburn Springfest","May 13 – May 14","Free!","The Sweet Auburn Heritage Festival was created to rebuild Auburn Avenue’s “Sweet Auburn” district and return the street’s status as the “greatest street on the planet,” according to the event website. The event is full of food, fun and entertainment for the whole family. There is a Kids Fantastic Fun Zone, International Food Court, and a 150-foot zipwire.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>11am – 9pm</td></tr><tr><td>Sun, May 14</td><td>1pm – 8pm</td></tr></tbody></table></dd>","Sweet Auburn Historic District","Auburn Ave. NE and Courtland St. NE
ATLANTA, GA 30303","<h3>Location</h3>
				<header class=""entry-header"">
					Sweet Auburn Historic District				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>Auburn Ave. NE and Courtland St. NE<br>ATLANTA, GA 30303</span></dd></dl>				<dl class=""pi-field wwwsweetauburncom"" title=""www.sweetauburn.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.sweetauburn.com"">www.sweetauburn.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:charles@sweetauburn.com"">charles@sweetauburn.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-246-2492"">404-246-2492</a></span></dd></dl>"
"Jonquil Festival","https://atlantaplanit.wabe.org/events/jonquil-festival/","Jonquil Festival","Oct 28 – Oct 29","Free!","The Jonquil Festival has run for more than 20 years and features over 175 hand-made arts and crafts booths, local nonprofit booths, puppet shows, live music, plenty of festival food and children's activities. Artisans are from all over the southeast and feature their own hand-made crafts, paintings, clothing, furniture, jewelry and much more.





This event takes place at:


Community Center


200 Village Green Circle SE


Smyrna, Georgia 30080","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Oct 28</td><td>10am – 6pm</td></tr><tr><td>Sun, Oct 29</td><td>12pm – 5pm</td></tr></tbody></table></dd>","Smyrna Public Library","100 Village Green Circle SE
SMYRNA, GA 30080","<h3>Location</h3>
				<header class=""entry-header"">
					Smyrna Public Library				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>100 Village Green Circle SE<br>SMYRNA, GA 30080</span></dd></dl>				<dl class=""pi-field wwwsmyrna-librarycom"" title=""www.smyrna-library.com/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.smyrna-library.com/"">www.smyrna-library.com/</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:sreference@ci.smyrna.ga.us"">sreference@ci.smyrna.ga.us</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-431-2860"">770-431-2860</a></span></dd></dl>"
"Madison Ave Soapbox Derby","https://atlantaplanit.wabe.org/events/madison-ave-soapbox-derby/","Madison Ave Soapbox Derby","Oct 7","null","This event is a unique, non-motorized racing event that challenges amateur racers to design and build human-powered soapbox cars and compete against the clock in a downhill race. The Madison Ave Soapbox Derby is fueled by creativity and family fun, not to mention the need for speed!





This event takes place at:


Madison Ave


Decatur, GA 30030","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Oct 7</td><td>12pm – 5:30pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Shaky Knees Music Festival","https://atlantaplanit.wabe.org/events/shaky-knees-music-festival/","Shaky Knees Music Festival","May 12 – May 14","null","Don't miss the 5th Annual Shaky Knees Music Fest as it takes over Centennial Olympic Park. The Lineup includes acts such as The XX, Pixies, Third Eye Blind and Ryan Adams.


Single day tickets should be available soon.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 12<br>Sat, May 13</td><td>11:30am – 11pm</td></tr><tr><td>Sun, May 14</td><td>11:30am – 10pm</td></tr></tbody></table></dd>","Centennial Olympic Park","265 Centennial Olympic Park Dr.
ATLANTA, GA 30303","<h3>Location</h3>
				<header class=""entry-header"">
					Centennial Olympic Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>265 Centennial Olympic Park Dr.<br>ATLANTA, GA 30303</span></dd></dl>				<dl class=""pi-field wwwcentennialparkcom"" title=""www.centennialpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.centennialpark.com"">www.centennialpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@centennialpark.com"">info@centennialpark.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-223-4412"">404-223-4412</a></span></dd></dl>"
"Atlantic Station Tree Lighting","https://atlantaplanit.wabe.org/events/atlantic-station-tree-lighting/","Atlantic Station Tree Lighting","Nov 18","Free","Atlantic Station’s annual tree lighting attracts thousands of guests every year. Join Atlantic Station for the welcoming of Santa, live music and tons of fun as the switch is flipped on the greatest tree in Midtown. Watch the Holiday Parade beginning at 7:30 p.m. and stay for Midtown’s biggest fireworks display after the tree lighting.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Nov 18</td><td>1pm – 10pm</td></tr></tbody></table></dd>","Atlantic Station","171 17th St.
ATLANTA, GA 30363","<h3>Location</h3>
				<header class=""entry-header"">
					Atlantic Station				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>171 17th St.<br>ATLANTA, GA 30363</span></dd></dl>				<dl class=""pi-field wwwatlanticstationcom"" title=""www.atlanticstation.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.atlanticstation.com"">www.atlanticstation.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@atlanticstation.com"">info@atlanticstation.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-410-4010"">404-410-4010</a></span></dd></dl>"
"Anime Weekend Atlanta","https://atlantaplanit.wabe.org/events/anime-weekend-atlanta/","Anime Weekend Atlanta","Sep 28 – Oct 1","Single ticket prices range from $45 to $70","This family-friendly, four-day celebration of anime, manga and cosplay is over 20 years old and most recently hosted more than 28,000 guests. According to the event website, AWA exists to educate the public on the culture and history surrounding anime, learn about Japanese culture, and to bring fans together in a festive environment. At the convention, guests can meet heroes at fan panels, interact with fellow fans while playing favorite videos and tabletop games, and more. Cosplayers can participate in cosplay galleries, and guests can purchase goodies at the convention’s dealer’s room and artist alley.





In addition to events at Cobb Galleria, this event takes place at:


Renaissance Atlanta Waverly Hotel & Convention Center


2450 Galleria Pkwy SE


Atlanta, GA 30339","null","Cobb Galleria","2 Galleria Pkwy.
ATLANTA, GA 30339","<h3>Location</h3>
				<header class=""entry-header"">
					Cobb Galleria				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>2 Galleria Pkwy.<br>ATLANTA, GA 30339</span></dd></dl>				<dl class=""pi-field wwwcobbgalleriacom"" title=""www.cobbgalleria.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.cobbgalleria.com"">www.cobbgalleria.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:events@cobbgalleria.com"">events@cobbgalleria.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-955-8000"">770-955-8000</a></span></dd></dl>"
"Duluth Celebrates America","https://atlantaplanit.wabe.org/events/duluth-celebrates-america/","Duluth Celebrates America","Jul 3","Free!","Celebrate Independence Day on July 3rd with a fabulous firework display, rockin' bands and activities for all to enjoy. Enjoy food trucks, children's activities, giveaways and more on Duluth Town Green.





This event takes place at:


Duluth Town Green


3167 Main St.


Duluth, GA 30096","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Mon, Jul 3</td><td>6pm – 11pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Marietta Fourth in the Park","https://atlantaplanit.wabe.org/events/marietta-fourth-in-the-park/","Marietta Fourth in the Park","Jul 4","Free!","Grab your American flag, put on your red, white and blue, and celebrate America’s independence on with the City of Marietta. Start the day with an Independence Day parade and celebration on the Square, followed by free live concerts, an arts and crafts show, food, carnival games and the City of Marietta fireworks finale.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jul 4</td><td>10am – 10pm</td></tr></tbody></table></dd>","Marietta Square","4 Depot St.
MARIETTA, GA 30060","<h3>Location</h3>
				<header class=""entry-header"">
					Marietta Square				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>4 Depot St.<br>MARIETTA, GA 30060</span></dd></dl>				<dl class=""pi-field wwwmariettasquarecom"" title=""www.mariettasquare.com/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.mariettasquare.com/"">www.mariettasquare.com/</a></span></dd></dl>								<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-429-1115"">770-429-1115</a></span></dd></dl>"
"Atlanta Jazz Festival","https://atlantaplanit.wabe.org/events/atlanta-jazz-festival-2/","Atlanta Jazz Festival","May 26 – May 28","null","The Atlanta Jazz Festival is regarded as one the country's largest free jazz festivals. It is an annual musical showcase that celebrates jazz legends and up-and-coming jazz greats in venues throughout metropolitan Atlanta during the entire month of May. The festival. The festival culminates each Memorial Day weekend with show-stopping performances at Piedmont Park.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 26</td><td>12:30pm – 10:30pm<br>7pm – 10:30pm</td></tr></tbody></table></dd>","Piedmont Park","1071 Piedmont Ave.
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Piedmont Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1071 Piedmont Ave.<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwpiedmontparkorg"" title=""www.piedmontpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.piedmontpark.org"">www.piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@piedmontpark.org"">info@piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-875-7275"">404-875-7275</a></span></dd></dl>"
"Miss Mary’s Ice Cream Crankin’","https://atlantaplanit.wabe.org/events/miss-marys-ice-cream-crankin/","Miss Mary’s Ice Cream Crankin’","Aug 27","General Admission","At this event visitors can taste more than 100 flavors of homemade ice cream, dive into ice cream eating contests, enjoy live music and let the kids work off their energy in the Kid’s Korner. The event benefits The Drake House, which provides short-term crisis housing, education and empowerment programs for homeless single mothers and their children in North Metro Atlanta.





This event takes place at:


Historic Roswell Square


Atlanta Street and Marietta Highway


Roswell, GA 30075","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Aug 27</td><td>2pm – 4pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Taste of Atlanta","https://atlantaplanit.wabe.org/events/taste-of-atlanta/","Taste of Atlanta","Oct 20 – Oct 22","Ticket prices TBD","Official October 2017 dates and times to be announced. 





Atlanta's premier food festival attracts food lovers from throughout Atlanta, the Southeast and beyond to enjoy tastes from more than 90 of the city's favorite restaurants. Sample delicious dishes; sip robust wines, craft beers and innovative cocktails; be entertained by demos from local celebrity chefs; and enjoy interactive sponsor experiences and family-friendly entertainment, all while uncovering the incredible dining treasures the city has to offer.





Tickets are available in 1-day and 2-day passes, VIP, workshops, special tastings and more.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>12pm – 6pm</td></tr></tbody></table></dd>","Technology Square","5th St. and Spring St.
ATLANTA, GA 30308","<h3>Location</h3>
				<header class=""entry-header"">
					Technology Square				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>5th St. and Spring St.<br>ATLANTA, GA 30308</span></dd></dl>				<dl class=""pi-field wwwdlpegatechedutechnology-square"" title=""www.dlpe.gatech.edu/technology-square/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.dlpe.gatech.edu/technology-square/"">www.dlpe.gatech.edu/technology-square/</a></span></dd></dl>"
"Piedmont Park Arts Festival","https://atlantaplanit.wabe.org/events/piedmont-park-arts-festival/","Piedmont Park Arts Festival","Aug 19 – Aug 20","Free!","The 2017 Piedmont Park summer arts and crafts festival is a two-day outdoor event with an emphasis on the visual arts and family fun. This event features nearly 250 painters, photographers, sculptors, leather and metalwork, glass blowers, jewelers and crafters. The festival will also offer artist demonstrations, live acoustic music, a street market, children's play area plus festival foods and beverages with healthy alternatives.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Aug 19</td><td>10am – 5pm</td></tr><tr><td>Sun, Aug 20</td><td>11am – 5pm</td></tr></tbody></table></dd>","Piedmont Park","1071 Piedmont Ave.
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Piedmont Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1071 Piedmont Ave.<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwpiedmontparkorg"" title=""www.piedmontpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.piedmontpark.org"">www.piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@piedmontpark.org"">info@piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-875-7275"">404-875-7275</a></span></dd></dl>"
"Georgia Blues & Roots Festival","https://atlantaplanit.wabe.org/events/georgia-blues-roots-festival/","Georgia Blues & Roots Festival","Sep 30","null","The annual Georgia Blues & Roots Festival is destined to quickly become on of the premier musical events in the Southeast.  Featuring a wide array of the best local, regional and national touring blues and roots artist","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 30</td><td>10am – 10pm</td></tr></tbody></table></dd>","Mable House Barnes Amphitheatre","5239 Floyd Rd.
MABLETON, GA 30126","<h3>Location</h3>
				<header class=""entry-header"">
					Mable House Barnes Amphitheatre				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>5239 Floyd Rd.<br>MABLETON, GA 30126</span></dd></dl>				<dl class=""pi-field wwwmablehouseorg"" title=""www.mablehouse.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.mablehouse.org"">www.mablehouse.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:robert.edwards@cobbcounty.org"">robert.edwards@cobbcounty.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-819-7765"">770-819-7765</a></span></dd></dl>"
"Country Living Fair","https://atlantaplanit.wabe.org/events/country-living-fair/","Country Living Fair","Oct 27 – Oct 29","One-Day Pass:","The pages of Country Living magazine come to life. Country Living Fair Atlanta brings the best shopping, with 200 vendors from more than 20 states, a Harvest Market area of specialty foods and the Country Living General Store. Tickets includes seminars, how to’s, cooking demos and meet the editors.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm</td></tr></tbody></table></dd>","Stone Mountain Park","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087","<h3>Location</h3>
				<header class=""entry-header"">
					Stone Mountain Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>U.S. Highway 78 East<br>Exit 8<br>STONE MOUNTAIN, GA 30087</span></dd></dl>				<dl class=""pi-field wwwstonemountainparkcom"" title=""www.stonemountainpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.stonemountainpark.com"">www.stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:jjones@stonemountainpark.com"">jjones@stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-498-5690"">770-498-5690</a></span></dd></dl>"
"Atlanta Streets Alive: Westside","https://atlantaplanit.wabe.org/events/atlanta-streets-alive-westside/","Atlanta Streets Alive: Westside","Jun 11","Free","The streets of Atlanta come to life on June 11 from 4 p.m. to 8 p.m. as portions of Howell Mill Road and Marietta Street are opened to people on foot, bike, and other human-powered activities, and closed to motorized traffic. 





Participants can expect a wealth of activities hosted by community organizations and businesses. Community groups and businesses can get involved by: extending business onto the sidewalk by setting up cafe tables or displays and serving guests and customers; planning or sponsoring an activity that activates the space in front of their business; volunteering to help run the event or becoming a sponsor of the event.





The route follows Howell Mill Road and Marietta Street, as far south as Centennial Olympic Park and Woodruff Park in Downtown Atlanta. The full map route is available at atlantastreetsalive.com/dates.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Jun 11</td><td>4pm – 8pm</td></tr></tbody></table></dd>","Centennial Olympic Park","265 Centennial Olympic Park Dr.
ATLANTA, GA 30303","<h3>Location</h3>
				<header class=""entry-header"">
					Centennial Olympic Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>265 Centennial Olympic Park Dr.<br>ATLANTA, GA 30303</span></dd></dl>				<dl class=""pi-field wwwcentennialparkcom"" title=""www.centennialpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.centennialpark.com"">www.centennialpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@centennialpark.com"">info@centennialpark.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-223-4412"">404-223-4412</a></span></dd></dl>"
"Decatur Book Festival","https://atlantaplanit.wabe.org/events/decatur-book-festival/","Decatur Book Festival","Sep 1 – Sep 3","Free!","The Decatur Book Festival is the largest independent book festival in the country and one of the five largest overall. Since its launch, more than 1,000 world-class authors and hundreds of thousands of festival-goers have crowded the historic downtown Decatur square to enjoy book signings, author readings, panel discussions, an interactive children's area, live music, parades, cooking demonstrations, poetry slams, writing workshops and more.","null","Decatur Square","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030","<h3>Location</h3>
				<header class=""entry-header"">
					Decatur Square				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>W. Ponce de Leon Ave. and Church St.<br>DECATUR, GA 30030</span></dd></dl>				<dl class=""pi-field wwwdecaturgacom"" title=""www.decaturga.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.decaturga.com"">www.decaturga.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@decaturga.com"">info@decaturga.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-370-4100"">404-370-4100</a></span></dd></dl>"
