alphabet_links,alphabet_links-href,venue_link,venue_link-href,venue_name,venue_phone,venue_website,venue_description,accessibility_table,parking_information,venue_email,venue_address,venue_image-src
"C","https://atlantaplanit.wabe.org/venues/C/","Clarkston Community Center","https://atlantaplanit.wabe.org/venues/clarkston-community-center/","Clarkston Community Center","404- 508-1050","3701 College Ave.
CLARKSTON, GA 30021","The Clarkston Community Center is a public facility that is used for several types of community events.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available in a lot shared with the Clarkston Library.","info@clarkstoncommunitycenter.org","3701 College Ave.
CLARKSTON, GA 30021","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/CCC_-_Contra_Dance-1.jpg"
"F","https://atlantaplanit.wabe.org/venues/F/","First Existentialist Congregation","https://atlantaplanit.wabe.org/venues/first-existentialist-congregation/","First Existentialist Congregation","404-378-5570","470 Candler Park Dr NE
ATLANTA, GA 30307","null","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","null","null","470 Candler Park Dr NE
ATLANTA, GA 30307","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"N","https://atlantaplanit.wabe.org/venues/N/","Northside Tavern","https://atlantaplanit.wabe.org/venues/northside-tavern/","Northside Tavern","404-874-8745","1058 Howell Mill Rd.
ATLANTA, GA 30318","Northside Tavern has been home to Atlanta's blues music scene since 1972. You can catch live blues and roots music here seven nights a week.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Limited free parking is available.","northsidetavern@aol.com","1058 Howell Mill Rd.
ATLANTA, GA 30318","https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/NorthsideTavern.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Spelman College, Sisters Chapel","https://atlantaplanit.wabe.org/venues/spelman-college-sisters-chapel/","Spelman College, Sisters Chapel","404-681-3643","350 Spelman Lane SW
ATLANTA, GA 30314","Sisters Chapel on the campus of Spelman College occasionally hosts performances of various types.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","For those using GPS navigation systems when traveling to Spelman, the following address will bring you directly to the entrance: 440 Westview Dr. SW, Atlanta, 30310. Upon your arrival, the public safety officers can inform you of where to park. MARTA: Exit the West End Station and head north on W. Whitehall St. toward Glenn St./Ralph David Abernathy Blvd. Turn left at Ralph David Abernathy Blvd. Turn right at Lee St. and then turn slight left onto Westview Dr. to arrive at the main entrance to campus.","null","350 Spelman Lane SW
ATLANTA, GA 30314","https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/Spelman_College_-_Sisters_Chapel.jpg"
"H","https://atlantaplanit.wabe.org/venues/H/","Healium Center","https://atlantaplanit.wabe.org/venues/healium-center/","Healium Center","404-216-8877","344 Candler Park Dr.
ATLANTA, GA 30307","Healium Center is an interactive arts forum whose mission is to empower, uplift and transform people by facilitating the exchange, presentation and connection of the creative arts as personal healing tools. Using unique workshops, events and thought-provoking art exhibitions, Healium hopes to provide a creative experience that is authentic, cathartic and therapeutic.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Street parking is available. MARTA: Take the Blue/Green line to the Edgewood-Candler Park Station. Out of the station walk west on DeKalb Avenue, turn right on Oakdale Road, and turn right on Iverson Street. The venue is on your left at the corner of Iverson Street and Candler Park Drive.","healiumcenter@gmail.com","344 Candler Park Dr.
ATLANTA, GA 30307","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Healium_-_Venue.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","Greek Orthodox Church","https://atlantaplanit.wabe.org/venues/greek-orthodox-church/","Greek Orthodox Church","null","2500 Clairmont Rd. NE
ATLANTA, GA 30329","Greek Orthodox Church is located on Clairmont Road and annually hosts the Atlanta Greek Festival.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Parking is available.","null","2500 Clairmont Rd. NE
ATLANTA, GA 30329","https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/GreekOrthodoxChurch.jpg"
"J","https://atlantaplanit.wabe.org/venues/J/","Jennie T. Anderson Theatre","https://atlantaplanit.wabe.org/venues/jennie-t-anderson-theatre/","Jennie T. Anderson Theatre","770-528-8490","Cobb County Civic Center Complex
548 South Marietta Pkwy.
MARIETTA, GA 30060","The Jennie T. Anderson Theatre is a 606-seat performing arts theatre located in the Cobb County Civic Center Complex. It hosts concerts, plays, recitals and other events. Each year, this theatre's Encore Series of performances brings in some of the top performing acts in the nation: oldies, comedy, big band, dance and musical theatre.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking available","terry.chandler@cobbcounty.org","Cobb County Civic Center Complex
548 South Marietta Pkwy.
MARIETTA, GA 30060","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Jennie_-_building.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Spivey Hall","https://atlantaplanit.wabe.org/venues/spivey-hall/","Spivey Hall","678-466-4200","Clayton State University
MORROW, GA 30260","Clayton State University’s Spivey Hall is the Southeast’s premier recital hall renowned internationally for its superior acoustics and the excellence of its classical, jazz and world music artists. Spivey Hall opened in 1991 as a 400-seat, acoustically-superior performing arts venue, and since then it has received regular national and international attention as one of America’s finest. Thanks to frequent appearances on American Public Media’s ""Performance Today,"" as heard on public radio stations across the country and locally on WABE 90.1FM, the hall has earned a national reputation while also reaching an international audience through exposure in such publications as BBC Music magazine and International Arts Manager. The Hall also routinely receives superb accolades from the noted artists it annually presents.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","susanvolkert@mail.clayton.edu","Clayton State University
MORROW, GA 30260","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Spivey_-_venue.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Woodruff Park","https://atlantaplanit.wabe.org/venues/woodruff-park/","Woodruff Park","404-215-9600","Auburn Ave. NE and Peachtree St. NE
ATLANTA, GA 30303","Located at the heart of the city’s financial, entertainment and academic districts, Woodruff Park is one of downtown Atlanta’s most significant green spaces. Lawn and plaza areas, a bandstand, sculptures, and fountains combine to make this a flexible open space.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Street parking and pay lots are available around the park. MARTA: Exit the Peachtree Center Station and head south on Peachtree Street toward Ellis Street. Make a slight left to stay on Peachtree Street and then turn left on Auburn Avenue.","cooper@centralatlantaprogress.org","Auburn Ave. NE and Peachtree St. NE
ATLANTA, GA 30303","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Smith’s Olde Bar","https://atlantaplanit.wabe.org/venues/smiths-olde-bar/","Smith’s Olde Bar","404-875-1522","1578 Piedmont Ave. NE
ATLANTA, GA 30324","Smith's Olde Bar is an Atlanta institution, offering some of the best music to be found anywhere in the city. The atmosphere is very relaxed, and you can find something good to eat and something fun to do almost every night.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in the Ansley Mall parking lot.","null","1578 Piedmont Ave. NE
ATLANTA, GA 30324","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/SmithsOldeBar.jppg_-1831.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","Georgia Freight Depot","https://atlantaplanit.wabe.org/venues/georgia-freight-depot/","Georgia Freight Depot","404-656-3850","65 Martin Luther King Jr. Dr. SE
ATLANTA, GA 30334","The Georgia Railroad Freight Depot was completed in April of 1869 and is one of the oldest buildings in downtown Atlanta. The building served as the main freight depot for the Georgia Railroad and was restored by the Georgia Building Authority in 1981 for public use. Most of the original brickwork and freight bays remain in place to give the facility a unique setting for special occasions.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Parking is available in nearby decks and lots.","null","65 Martin Luther King Jr. Dr. SE
ATLANTA, GA 30334","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/GAFrieghtDepot.jpg"
"F","https://atlantaplanit.wabe.org/venues/F/","Frameworks Gallery","https://atlantaplanit.wabe.org/venues/frameworks-gallery/","Frameworks Gallery","770-973-6701","1205 Johnson Ferry Rd.
Suite 110
MARIETTA, GA 30068","For over 30 years, Frameworks Gallery has displayed a wide variety of artistic media - oil and acrylic paintings, pottery and raku, watercolors and lithographs, pastels, etchings and studio glass vases - all in a warm and friendly atmosphere. Frameworks Gallery is known for showing the latest original art in the Southeast. They introduce novice art buyers to the process of collecting fine art of all mediums and styles (oil, acrylic, watercolor, mixed media, pastels, giclee, photography, abstract, landscape, portrait, still life, pottery, sculpture, blown glass and more).","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Frameworks Gallery is located in East Cobb, in the Woodlawn Square Shopping Center, next door to Fresh Market. Free parking is available.","info@frameworksgallery.com","1205 Johnson Ferry Rd.
Suite 110
MARIETTA, GA 30068","https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/Frameworks_-_Outside.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","Church of the Atonement","https://atlantaplanit.wabe.org/venues/church-of-the-atonement/","Church of the Atonement","404-252-3324","4945 High Point Rd.
SANDY SPRINGS, GA 30342","Church of the Atonement is located in Sandy Springs.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","null","4945 High Point Rd.
SANDY SPRINGS, GA 30342","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/ChurchoftheAtonement.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Alliance Française d’Atlanta","https://atlantaplanit.wabe.org/venues/alliance-francaise-datlanta/","Alliance Française d’Atlanta","404-875-1211","1197 Peachtree St. NE
Colony Square, Suite 561
ATLANTA, GA 30361","Alliance Française d'Atlanta is an independent and non-profit organization that was founded in 1912 and serves the Atlanta community as the premier provider of French language and culture. It offers French language studies and cultural exchange programs as well as a variety of courses, social activities and cultural events.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Alliance Française d'Atlanta is located in a joint facility with the German Cultural Center on the Plaza Level of the Colony Square complex. Parking is located underneath the building. Bring your parking stub to Alliance Française d'Atlanta for free validated parking. MARTA: Exit the Arts Center Station and walk east on 15th Street. The Colony Square complex is on Peachtree Street between 14th and 15th Street.","info@afatl.com","1197 Peachtree St. NE
Colony Square, Suite 561
ATLANTA, GA 30361","https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/AF_-_logo2014.jpg"
"Z","https://atlantaplanit.wabe.org/venues/Z/","Zoo Atlanta","https://atlantaplanit.wabe.org/venues/zoo-atlanta/","Zoo Atlanta","404-624-9453","800 Cherokee Ave. SE
ATLANTA, GA 30315","Just minutes from downtown Atlanta in historic Grant Park, Zoo Atlanta features the Southeast's most impressive collection of wildlife from around the globe.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available. Please note that the lots fill quickly - especially on weekends.","labrown@zooatlanta.org","800 Cherokee Ave. SE
ATLANTA, GA 30315","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Zoo_Atlanta-_Panda.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","Gallery 72","https://atlantaplanit.wabe.org/venues/gallery-72/","Gallery 72","404-546-6788","72 Marietta St.
ATLANTA, GA 30303","Gallery 72 is located on the first floor of the former Atlanta Journal and Constitution Building at 72 Marietta St., which is now home to the City of Atlanta’s Department of Watershed Management. Renamed 2 City Plaza, the building’s lobby incorporates a city-run art gallery designed by Stanley Beaman and Sears as the result of a re-design competition initiated by the Office of Cultural Affairs in March of 2012. The 3,400-square-foot lobby is broken into three zones — a south gallery, a north gallery and an entry lobby. The south gallery features a variety of art forms while the north gallery focuses on digital artwork.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Paid street parking is available near the gallery. MARTA: Take the Gold line to Five Points Station. Out of the station, walk northeast on Broad Street, and turn left on Marietta Street. The gallery will be on the right.","lcarstens@atlantaga.gov","72 Marietta St.
ATLANTA, GA 30303","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Gallery_72_-_Photo_by_Chris_Ferguson_for_PlanIt.jpg"
"B","https://atlantaplanit.wabe.org/venues/B/","The Buckhead Theatre","https://atlantaplanit.wabe.org/venues/buckhead-theatre-the/","The Buckhead Theatre","404-891-6168","3110 Roswell Rd.
ATLANTA, GA 30305","Originally opened in 1931, The Buckhead Theatre sits at the gateway to one of the country's most storied neighborhoods. After two years of painstaking restoration, the theatre once again opened its doors as Atlanta's premier intimate theatrical venue.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","The theatre is located on Roswell Road in the heart of Buckhead at the intersection of Peachtree Street, West Paces Ferry and Roswell Road. Paid parking is available in lots surrounding the venue.","info@thebuckheadtheatre.com","3110 Roswell Rd.
ATLANTA, GA 30305","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Buckhead_Theatre.jpg"
"F","https://atlantaplanit.wabe.org/venues/F/","Fernbank Science Center","https://atlantaplanit.wabe.org/venues/fernbank-science-center/","Fernbank Science Center","678-874-7102","156 Heaton Park Dr. NE
ATLANTA, GA 30307","Fernbank Science Center, where science becomes an adventure, is operated by DeKalb County School System. It's a perennial favorite for family outings to the Jim Cherry Planetarium (the largest in the Southeast), the Ralph Buice Observatory, its garden area, and an exhibit hall featuring live animals, a world-class meteorite collection, and the Apollo 6 capsule. Admission is charged for planetarium shows and some special events, but the exhibit hall and garden areas are free for all to enjoy.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","fernbank@fernbank.edu","156 Heaton Park Dr. NE
ATLANTA, GA 30307","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/FSC-live_animals-1.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Woodlands Garden","https://atlantaplanit.wabe.org/venues/woodlands-garden/","Woodlands Garden","404-373-2222","32 Scott Blvd.
DECATUR, GA 30030","Woodlands Garden’s mission is preserving a woodland garden as an urban sanctuary to educate and engage the community in the natural world.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Limited free parking is available.","director@woodlandsgarden.org","32 Scott Blvd.
DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/WG_-_Venue.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","Cabbagetown Park","https://atlantaplanit.wabe.org/venues/cabbagetown-park/","Cabbagetown Park","null","701 Kirkwood Ave. SE
ATLANTA, GA 30316","Cabbagetown Park occasionally hosts various events throughout the year.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Nearby street parking is available. MARTA: Take the Blue/Green line to the King Memorial Station. Walk east on DeKalb Avenue, then turn right on Krog Street. Turn right on Kirkwood Avenue and the park will be on your left.","null","701 Kirkwood Ave. SE
ATLANTA, GA 30316","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/CabbagetownPark.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","Glenn Memorial United Methodist Church","https://atlantaplanit.wabe.org/venues/glenn-memorial-united-methodist-church/","Glenn Memorial United Methodist Church","404-634-3936","1660 N. Decatur Rd. NE
ATLANTA, GA 30307-1010","Located in the North Druid Hills area in DeKalb, Glenn Memorial frequently hosts performances of various types.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Ample parking is available at no charge in Emory’s Fishburne Parking Deck on weekends and on weekdays after 5 pm. Parking is permitted along North Decatur Road on Sundays until 5. Spaces are also available behind our Youth and Activities Building across the street. Emory’s campus shuttles are free and open to the public (no ID is required to board). For more information go to www.ridecliff.org. Parking for guests with walking difficulties is located along the driveway between the sanctuary and the Church School Building.","nancye@glennumc.org","1660 N. Decatur Rd. NE
ATLANTA, GA 30307-1010","https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/Glenn_Memorial_United_Methodist.jpg"
"P","https://atlantaplanit.wabe.org/venues/P/","Pinch ‘n’ Ouch Theatre","https://atlantaplanit.wabe.org/venues/pinch-n-ouch-theatre/","Pinch ‘n’ Ouch Theatre","1-800-838-3006","1085 Ponce De Leon Ave. NE
ATLANTA, GA 30306","The Pinch 'n' Ouch Theatre mission is to advance the vitality and diversity of American theatre by nurturing artists, encouraging repeatable creative relationships, and contributing new works to the national canon. The company is dedicated to perpetuating an ethic of mutual respect and the development of artists through group work. Cofounded by Atlanta natives Grant McGowen and Bree Dawn Shannon, the company works to respectfully and humbly serve not only audiences but the works of art themselves. This theatre is located inside Druid Hills Baptist Church.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","null","1085 Ponce De Leon Ave. NE
ATLANTA, GA 30306","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Pinch_-_logo2011.jpg"
"E","https://atlantaplanit.wabe.org/venues/E/","Emory University, Schwartz Center for Performing Arts","https://atlantaplanit.wabe.org/venues/emory-university-schwartz-center-for-performing-arts/","Emory University, Schwartz Center for Performing Arts","404-727-5050","1700 North Decatur Rd.
ATLANTA, GA 30322","The Schwartz Center for Performing Arts provides a central space for Emory University's rapidly growing music, dance and theater programs. The 90,000-square-foot facility includes a world-class concert hall, a dance studio and a theater lab for the development of new works. Each space encourages student learning and inspires the development and performance of new work.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in Emory University's Fishburne Parking Deck. Enter at the first entrance during weekdays or the second entrance during weekends or evenings. The Schwartz Center for the Performing Arts is located next door to the deck on Fishburne Drive.","schwartzcenter@emory.edu","1700 North Decatur Rd.
ATLANTA, GA 30322","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Arts_at_Emory_-_Schwartz_Center.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","Callaway Gardens","https://atlantaplanit.wabe.org/venues/callaway-gardens/","Callaway Gardens","800-852-3810","17800 US Hwy 27
PINE MOUNTAIN, GA 31822","Callaway Gardens is a destination experience for families and adults. Activities include beach and water sports, zip lines, the butterfly center, seasonal activities and more.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Parking is available on site.","null","17800 US Hwy 27
PINE MOUNTAIN, GA 31822","https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/CallawayGardens.jpg"
"V","https://atlantaplanit.wabe.org/venues/V/","Vinyl","https://atlantaplanit.wabe.org/venues/vinyl/","Vinyl","404-885-1365","1374 W. Peachtree St.
ATLANTA, GA 30309","Vinyl offers an intimate setting with plenty of seating for a prime view of the show and billiards for those just stopping in for a cold beer and a little music. A standard in Atlanta’s local music scene for the past five years, this low-key, high-quality venue for live performances is loved by local and regional musicians and fans alike. It is part of the Center Stage Atlanta music complex and can accommodate 300 people.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Ample parking is available at reasonable rates in the neighborhood surrounding the Center Stage Atlanta music complex. MARTA: Take MARTA to the Arts Center Station. Exit the station onto West Peachtree Street, and go one block to the right. The venue is located across the street.","null","1374 W. Peachtree St.
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Vinyl.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","The Georgia Ballet Studios","https://atlantaplanit.wabe.org/venues/georgia-ballet-studios-the/","The Georgia Ballet Studios","770-528-0881","1255 Field Pkwy.
MARIETTA, GA 30066","The Georgia Ballet School, founded in 1960 by Iris Hensley, is dedicated to providing outstanding instruction in ballet and related dance styles in a professional, structured, yet nurturing environment. The School's resident ballet company, The Georgia Ballet, provides talented, advanced level students with opportunities to apprentice with a professional organization. The company's presence also provides valuable firsthand education for all students in the ultimate practical application of their weekly lessons.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","spoplaskie@georgiaballet.org","1255 Field Pkwy.
MARIETTA, GA 30066","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Whitespace Gallery","https://atlantaplanit.wabe.org/venues/whitespace-gallery/","Whitespace Gallery","404-688-1892","814 Edgewood Ave. NE
ATLANTA, GA 30307","Whitespace Gallery is a modern gallery situated within the confines of an historic 1893 carriage house in Atlanta. Owner/director Susan Bridges represents an eclectic mix of original contemporary art, sculpture and photography by local and national artists. Artworks range from figurative to abstract, conceptual to cinematic. Representing both emerging and mid-career artists, Bridges has created an extraordinary gallery environment in which to encourage open expression and to promote original, unconventional projects.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Street parking is available around the gallery. MARTA: Take the Blue line to the Inman Park/Reynoldstown Station. Out of the station walk northwest toward Hurt Street and make a right. Turn left at Edgewood Avenue to arrive at Whitespace Gallery. It is about a 10-minute walk.","susan@whitespace814.com","814 Edgewood Ave. NE
ATLANTA, GA 30307","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Whitespace_-_General_Gallery.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Acworth Cultural Arts Center – Main Street Gallery","https://atlantaplanit.wabe.org/venues/acworth-cultural-arts-center-main-street-gallery/","Acworth Cultural Arts Center – Main Street Gallery","770-231-7751","4815 S. Main St.
ACWORTH, GA 30101","The Main Street Gallery is sponsored by the Acworth Cultural Arts Center, nonprofit arts organization serving North Georgia and beyond.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available","info@acworthculturalarts.org","4815 S. Main St.
ACWORTH, GA 30101","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Acworth_-_Main_Street_Gallery.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Signature Contemporary Craft","https://atlantaplanit.wabe.org/venues/signature-contemporary-craft/","Signature Contemporary Craft","404-237-4426","3267 Roswell Rd. NW
ATLANTA, GA 30305","This combination craft show and contemporary gallery features a wide range of art, craft and well-designed handmade objects by American artists working in clay, fiber, metal, glass, wood and mixed media. Signature Contemporary Craft also presents exhibitions by well-known and nationally recognized craft artists. Exhibitions of work by a featured artist or group of artists are shown regularly and in conjunction with the work of represented artists that are always available in the gallery.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Lot parking is available.","info@thesignatureshop.com","3267 Roswell Rd. NW
ATLANTA, GA 30305","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/SignatureShop_-_Gallery.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","St. Luke’s Episcopal Church","https://atlantaplanit.wabe.org/venues/st-lukes-episcopal-church/","St. Luke’s Episcopal Church","404-873-7600","435 Peachtree St. NE
ATLANTA, GA 30308","null","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","From North of Downtown Atlanta: Take either I-75 or I-85 south past where the two interstates combine into one highway (the Downtown Connector). Exit at North Avenue, turn left, and go to the third traffic light, which is the intersection with Peachtree Street. Turn right onto Peachtree, go through two traffic lights, and you are at St. Luke's. You can park in the commercial parking lots on either side of Peachtree Street on Sundays for free; during other times the only free parking is in the small U-shaped lot off Peachtree Street immediately adjacent to the Church itself. From East of Downtown Atlanta: Take I-20 west until you reach the I-75/85 Northbound exit. Exit onto I-75/85 northbound and go to the Peachtree Street exit and exit to the right. At the traffic light on Peachtree Street, turn right and the church is almost immediately on your left. You can park in the commercial parking lots on either side of Peachtree Street on Sundays for free; during other times the only free parking is in the small U-shaped lot off Peachtree Street immediately adjacent to the Church itself. From West of Downtown Atlanta: Take I-20 east until you reach the I-75/85 Northbound exit. Exit onto I-75/85 northbound and go to the Peachtree Street exit and exit to the right. At the traffic light on Peachtree Street, turn right and the church is almost immediately on your left. You can park in the commercial parking lots on either side of Peachtree Street on Sundays for free; during other times the only free parking is in the small U-shaped lot off Peachtree Street immediately adjacent to the Church itself. From South of Downtown Atlanta: Take either I-75 or I-85 north past where the two intestates combine into one highway (the Downtown Connector). Continue north until you come to the Peachtree Street exit. At the traffic light on Peachtree Street, turn right and the church is almost immediately on your left. You can park in the commercial parking lots on either side of Peachtree Street on Sundays for free; during other times the only free parking is in the small U-shaped lot off Peachtree Street immediately adjacent to the Church itself. By MARTA Train: St. Luke's is conveniently located a block east of the Civic Center Station (N2) of the MARTA rail line. Take either northbound or southbound trains and exit the train at the Civic Center station. Take the northbound exit from the station (the one away from the downtown side of the station), go up West Peachtree Street one-half block to Pine Street, and walk one block down Pine to Peachtree Street. Turn right and you will see St. Luke's across the street. If you are coming from the East or West by MARTA train, exit your train at the Five Points Station, get on a northbound train, and proceed as described above. By MARTA Bus: A number of MARTA bus routes pass St. Luke's. Check with MARTA for complete bus routes and times. These buses include: #10 Peachtree #31 Morningside-Grant Park #46 Boulevard/St. Charles","null","435 Peachtree St. NE
ATLANTA, GA 30308","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","Marcia Wood Gallery Castleberry","https://atlantaplanit.wabe.org/venues/marcia-wood-gallery-castleberry/","Marcia Wood Gallery Castleberry","404-827-0030","263 Walker St. SW
ATLANTA, GA 30313","Marcia Wood Gallery Castleberry is housed in a 75-year-old historic building in the downtown area of Castleberry Hill. Founded in Atlanta in 1987, the gallery represents emerging, mid-career and established artists who are making notable contributions to the field of contemporary art. The gallery presents a diverse program of media including video, installation, digital media, sculpture and photography.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Street parking is available.","info@marciawoodgallery.com","263 Walker St. SW
ATLANTA, GA 30313","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/MarciaWoodGallery_-_Interior.jpg"
